batch,gen_passage_id,seed_passage_id,novel,meaningful,pragmatic,annotator_id,gen_source,ppl,WQRM_score,ai_likelihood
3,13191_olmo1,13191,1,1,0,7,olmo1,356.0365881434752,6.805713176727295,1.0
4,13191_human,13191,0,1,1,26,human,2210.4805752733305,8.75667953491211,9.258588155110678e-05
6,4796_human,4796,0,1,1,18,human,40574.02264664997,7.986728668212891,0.013427734375
10,13316_olmo2,13316,0,1,1,21,olmo2,6276.144433982109,7.759918689727783,1.0
10,15377_olmo2,15377,0,1,1,21,olmo2,8751.18020818673,6.236397743225098,1.0
3,16204_olmo1,16204,0,1,1,7,olmo1,9055.558287215972,6.994654655456543,1.0
2,16897_olmo1,16897,1,1,1,10,olmo1,12248.645505180288,6.122307300567627,1.0
6,12042_olmo2,12042,0,1,1,18,olmo2,368.0944267154272,7.337074756622314,1.0
9,12432_olmo2,12432,0,1,1,8,olmo2,1222.0500503645992,6.178188800811768,1.0
2,17757_olmo1,17757,0,1,1,10,olmo1,652.4530962392006,6.624870777130127,1.0
7,14319_olmo2,14319,0,1,1,2,olmo2,3403.2473330825937,6.024923801422119,1.0
9,4440_human,4440,0,1,1,8,human,1876.3324160319037,8.486018180847168,0.000976456536187
8,14415_human,14415,0,1,1,15,human,42355.93909327316,8.254592895507812,0.0001300705803765
1,18037_olmo1,18037,0,1,1,9,olmo1,229.44483024743607,6.650257587432861,1.0
5,8444_human,8444,0,1,1,17,human,854.5776504646549,8.483384132385254,1.529852549235026e-05
5,4796_olmo1,4796,0,1,1,1,olmo1,1505.6910118876715,7.5454020500183105,1.0
7,14319_olmo2,14319,0,1,1,2,olmo2,11063.66360094462,6.024923801422119,1.0
3,15471_olmo1,15471,0,1,1,23,olmo1,954.6056368279474,4.810379505157471,1.0
2,18137_olmo1,18137,0,1,1,10,olmo1,123603.8454163452,4.510998249053955,1.0
5,12042_human,12042,0,1,1,17,human,52321.926490147,8.593642234802246,6.801552242702908e-05
3,15471_olmo1,15471,0,1,1,7,olmo1,7626144.226684472,4.810379505157471,1.0
4,13365_olmo1,13365,0,1,1,14,olmo1,49.23354783683932,5.552242279052734,1.0
6,8444_olmo2,8444,0,1,1,18,olmo2,285806.08824029885,6.932831287384033,1.0
10,3507_olmo2,3507,0,1,1,21,olmo2,4400.716138691312,5.990418434143066,1.0
5,11549_olmo1,11549,0,1,1,4,olmo1,1057.2209916161412,5.903656959533691,1.0
10,7644_human,7644,0,1,1,21,human,474.3085303014698,8.531832695007324,0.0001329183578491
8,14415_human,14415,0,1,1,15,human,103571.03092806772,8.254592895507812,0.0001300705803765
9,4440_human,4440,0,1,1,16,human,474.8453856400434,8.486018180847168,0.000976456536187
8,14415_human,14415,0,1,1,15,human,107023.71351808187,8.254592895507812,0.0001300705803765
4,14248_olmo1,14248,0,1,1,3,olmo1,5232.30373368308,6.540572166442871,1.0
7,14062_human,14062,0,1,1,2,human,66147.86246410494,8.620152473449707,0.0001072221332126
10,13263_olmo2,13263,0,1,1,12,olmo2,304.46179460035114,5.68477725982666,1.0
8,11601_olmo2,11601,0,1,1,6,olmo2,40285.98636816966,6.544983863830566,1.0
3,15471_olmo1,15471,0,1,1,7,olmo1,20951.763376409603,4.810379505157471,1.0
7,11680_human,11680,0,1,1,22,human,466.55329010529766,8.56026554107666,0.02655029296875
9,3619_olmo2,3619,0,1,1,8,olmo2,39867.76403599118,6.876827239990234,1.0
4,16704_olmo1,16704,0,1,1,26,olmo1,80.80204003724654,6.737775802612305,1.0
9,15377_human,15377,0,1,1,16,human,6139.395335460987,8.203763961791992,6.096230612860786e-05
